Nama;Tanggal Tes;Jenis Kelamin;Tanggal Lahir;Asal Sekolah;Jurusan;Asal Universitas;Jurusan2;Kota;Hobi;Prestasi Akademik;Prestasi Non Akdemik;Ekskul Yang Diikuti
Abdul Rachman;1998/01/12;L;1998/01/29;;;;;;;;;
Abdul Rahman;1998/01/15;L;1998/01/21;;;;;;;;;
Abdul Rifai Natanegara;1998/01/09;L;1998/01/20;;;;;;;;;
Abdul Slam Tahir;1998/01/08;L;1998/01/08;;;;;;;;;
Abdullah Alatas;1998/01/25;L;1998/01/16;;;;;;;;;
Abu Djaja Bunjamin;1998/02/04;L;1998/01/14;;;;;;;;;
Abu Hermanto Budiono;1998/01/12;L;1998/01/26;;;;;;;;;
Achirsyah Moeis;1998/01/15;L;1998/02/02;;;;;;;;;
Achmad Fadjar;1998/01/26;L;1998/01/19;;;;;;;;;
Achmad Faried Joesoef;1998/01/22;L;1998/01/20;;;;;;;;;
Achmad Kalla;1998/01/11;L;1998/01/16;;;;;;;;;
Achmad Latief Alwy;1998/01/22;L;1998/01/08;;;;;;;;;
Achmad Nugraha Djuanda;1998/02/02;L;1998/01/22;;;;;;;;;
Achmad Sandi;1998/01/14;L;1998/01/28;;;;;;;;;
"Achmad, Sally, Erma and Cindy as joint tenants";1998/01/06;L;1998/01/19;;;;;;;;;
Adam Sautin;1998/01/10;L;1998/02/04;;;;;;;;;
Ade R. Syarief;1998/01/24;L;1998/01/08;;;;;;;;;
Ade Tjakralaksana;1998/01/09;L;1998/01/27;;;;;;;;;
Adelina Prasetio;1998/01/18;L;1998/01/06;;;;;;;;;
Adhi Utomo;1998/01/30;L;1998/01/14;;;;;;;;;
Adhi Utomo Jusman;1998/01/31;L;1998/02/03;;;;;;;;;
Adi Bisono;1998/01/18;L;1998/02/01;;;;;;;;;
Adi Sasono;1998/02/01;L;1998/01/06;;;;;;;;;
Adi Sumito;1998/01/16;L;1998/01/15;;;;;;;;;
Adimitra Baratama Nusantara;1998/01/31;L;1998/01/21;;;;;;;;;
Aditya Koeswojo;1998/01/10;L;1998/01/25;;;;;;;;;
Adji Muljo Teguh;1998/02/01;L;1998/01/25;;;;;;;;;
Adnan Kelana Haryanto & Hermanto;1998/02/03;L;1998/01/22;;;;;;;;;
Adri Achmad Drajat;1998/01/08;L;1998/01/25;;;;;;;;;
Adriana Maya Politon;1998/02/01;L;1998/01/12;;;;;;;;;
Adryansyah;1998/01/31;L;1998/01/26;;;;;;;;;
Afandi Hermawan Oey;1998/01/26;L;1998/02/03;;;;;;;;;
Afandi Hermawan Oey and Tjoeng Anna Chrisnadi;1998/01/26;L;1998/01/20;;;;;;;;;
Agam Nugraha Subagdja;1998/01/21;L;1998/02/02;;;;;;;;;
Ago Harlim;1998/01/08;L;1998/02/05;;;;;;;;;
Agoeng Noegroho;1998/01/25;L;1998/01/21;;;;;;;;;
Agung Podomoro Group;1998/01/12;L;1998/01/25;;;;;;;;;
Agung Salim;1998/01/17;L;1998/01/15;;;;;;;;;
Agung Tobing;1998/01/20;L;1998/01/07;;;;;;;;;
Agus Djohari;1998/01/10;L;1998/01/22;;;;;;;;;
AGUS HARTONO LIE;1998/02/03;L;1998/01/09;;;;;;;;;
Agus Lasmono Sudwikatmono;1998/02/05;L;1998/01/30;;;;;;;;;
Agus Leman Gunawan;1998/01/19;L;1998/02/03;;;;;;;;;
Agus Makmur;1998/01/14;L;1998/01/17;;;;;;;;;
Agus Nursalim;1998/01/18;L;1998/01/16;;;;;;;;;
Agus Pranoto Setiadi;1998/02/04;L;1998/01/12;;;;;;;;;
Agus Purnomo Edhi;1998/01/25;L;1998/01/13;;;;;;;;;
Agus Soenong / Intina Wirawan The;1998/02/03;L;1998/01/24;;;;;;;;;
