No Tes;Tanggal Tes;Nama Kandidat;Jenis Kelamin;Tanggal Lahir;Pendidikan Terakhir;Jurusan;Kota;Perusahaan/Instansi;Posisi/Jabatan
213698;10/01/1998;Tony Djayalaksana;L;24/01/1998;;;;;
187792;20/01/1998;Tony Supargo;L;16/01/1998;;;;;
132825;04/02/1998;Tossin Suharya;L;30/01/1998;;;;;
191892;11/01/1998;"Tossin Suharya, Stephen Ignatius Suharya & Daniel Suharya";L;09/01/1998;;;;;
186012;13/01/1998;Toto Soegiarto;L;02/02/1998;;;;;
148452;15/01/1998;Toto Soegiarto and Enny Soegiarto;L;25/01/1998;;;;;
169094;19/01/1998;Totok Susilo;L;13/01/1998;;;;;
212688;05/02/1998;Totty Moekardiono;L;16/01/1998;;;;;
187362;25/01/1998;Trent Karoll;L;02/02/1998;;;;;
196090;24/01/1998;Triana Soenryo;L;24/01/1998;;;;;
165249;01/02/1998;Susana Sutanto;L;26/01/1998;;;;;
140642;15/01/1998;Susanna Kusnowo;L;27/01/1998;;;;;
195933;19/01/1998;Susanna Nagaria;L;02/02/1998;;;;;
155827;21/01/1998;Susanti Pheng;L;24/01/1998;;;;;
197457;15/01/1998;Susanti Sunardi;L;17/01/1998;;;;;
179743;05/02/1998;Susanto;L;26/01/1998;;;;;
168997;19/01/1998;Susanto Suwarto;L;30/01/1998;;;;;
222382;06/01/1998;Susanto Tandra;L;31/01/1998;;;;;
201474;13/01/1998;Susanto Tjandra;L;27/01/1998;;;;;
156723;24/01/1998;Susanto Winarto;L;06/01/1998;;;;;
220742;18/01/1998;Susi Salamah;L;22/01/1998;;;;;
159409;02/02/1998;Justo Padilla Nestro;L;07/01/1998;;;;;
149074;08/01/1998;Jusuf;L;16/01/1998;;;;;
197317;18/01/1998;Jusuf Handri Rachmantio;L;24/01/1998;;;;;
212882;28/01/1998;Jusuf Heryanto;L;12/01/1998;;;;;
128837;04/02/1998;Jusuf Salman;L;27/01/1998;;;;;
211530;06/01/1998;Jusuf Tanuwidjaja;L;25/01/1998;;;;;
124710;04/02/1998;Hasan Aula and Nina Koswandi;L;17/01/1998;;;;;
208779;22/01/1998;Hasan Dali;L;10/01/1998;;;;;
212503;13/01/1998;Hasan W. W. Krisno;L;22/01/1998;;;;;
206196;13/01/1998;HASHIM DJOJOHADIKUSUMO;L;09/01/1998;;;;;
216588;23/01/1998;Hasnuryani Sulaiman;L;24/01/1998;;;;;
211618;20/01/1998;Haston Limardo;L;19/01/1998;;;;;
203689;18/01/1998;Hastuti Sulistio;L;12/01/1998;;;;;
159660;31/01/1998;Hawanto Hartono;L;30/01/1998;;;;;
215173;06/01/1998;Hazriyandi;L;20/01/1998;;;;;
158747;01/02/1998;Heindrix Liauw;L;24/01/1998;;;;;
207135;10/01/1998;Helen Turtan Setiawan;L;21/01/1998;;;;;
212579;28/01/1998;Helen Wijaya Ong;L;08/01/1998;;;;;
157287;12/01/1998;Helmut Paasch;L;16/01/1998;;;;;
159924;16/01/1998;Helyuzar;L;16/01/1998;;;;;
205250;14/01/1998;Hengky Kunta Adjie;L;26/01/1998;;;;;
193723;05/02/1998;Hendarta Atmadja;L;04/02/1998;;;;;
199075;28/01/1998;Hendra Alamsjah;L;26/01/1998;;;;;
207533;23/01/1998;Hendra Basoeki;L;25/01/1998;;;;;
143612;13/01/1998;Hendra Harjadi;L;02/02/1998;;;;;
212570;19/01/1998;Hendra Koesnadi;L;06/01/1998;;;;;
178405;28/01/1998;Hendra Liem;L;09/01/1998;;;;;
187873;28/01/1998;Hendra Nagaria;L;25/01/1998;;;;;
208011;23/01/1998;Hendra Nova Syamsu;L;14/01/1998;;;;;
226145;11/01/1998;Hendra Soegiarto;L;07/01/1998;;;;;
231967;24/01/1998;Hendra Tjahyawati;L;25/01/1998;;;;;
227950;20/01/1998;Hendra Tjoa;L;18/01/1998;;;;;
171258;25/01/1998;"Hendra Wijaja, Tang Linawaty, Teddy Widjaja, William & Silvia";L;18/01/1998;;;;;
230863;12/01/1998;Hendra Wirajang;L;25/01/1998;;;;;
207780;18/01/1998;Hendrik;L;14/01/1998;;;;;
134851;03/02/1998;"Hendrik Hartono, Hoo";L;08/01/1998;;;;;
162190;17/01/1998;Hendrik Suhardiman;L;29/01/1998;;;;;
191924;20/01/1998;Hendrik Tanojo;L;08/01/1998;;;;;
134295;03/02/1998;Hendrik Tee;L;14/01/1998;;;;;
233208;11/01/1998;HENDRIKO WIJAYA;L;24/01/1998;;;;;
137139;06/01/1998;Hendro Guwanda Sutandi;L;06/01/1998;;;;;
127171;01/02/1998;Hendro Santoso Gondokusumo;L;26/01/1998;;;;;
205868;24/01/1998;Hendro Setiawan;L;07/01/1998;;;;;
187255;07/01/1998;Hendro Tjokrosetio;L;24/01/1998;;;;;
141607;03/02/1998;Hendry Lesmana;L;19/01/1998;;;;;
202812;31/01/1998;Hendy Rusli;L;05/02/1998;;;;;
153847;05/02/1998;Heng Ijat Hong;L;23/01/1998;;;;;
158467;27/01/1998;Hengki Sovian;L;27/01/1998;;;;;
231644;18/01/1998;Hengky Tenacious;L;25/01/1998;;;;;
172290;29/01/1998;Henking Wargana;L;30/01/1998;;;;;
159037;11/01/1998;Henky Suwignjo;L;05/02/1998;;;;;
169645;06/01/1998;Henny Kusumawati Tanuhardja;L;16/01/1998;;;;;
210717;06/01/1998;Henny Harmani Wirjosoekarto;L;07/01/1998;;;;;
156124;14/01/1998;Henny Hartady;L;05/02/1998;;;;;
192199;09/01/1998;Henny Kentjanawati Natawidjaja;L;18/01/1998;;;;;
219216;07/01/1998;henny Kusumawati Tanuhardja;L;03/02/1998;;;;;
226736;12/01/1998;Henny Purnamawati;L;04/02/1998;;;;;
175070;07/01/1998;Henny Santoso;L;27/01/1998;;;;;
157051;15/01/1998;Henny Victoria;L;16/01/1998;;;;;
195102;30/01/1998;Henoch Pradhana;L;18/01/1998;;;;;
182028;06/01/1998;Henrianto Kuswendi;L;11/01/1998;;;;;
135606;26/01/1998;Henrik Antoni Jie and Diana Purnamasari Go and Adi Janitra;L;08/01/1998;;;;;
206082;19/01/1998;Henry Halomoan Sitanggang;L;09/01/1998;;;;;
198098;03/02/1998;Henry Hartono Go;L;03/02/1998;;;;;
222927;29/01/1998;Henry Jahja;L;12/01/1998;;;;;
126396;30/01/1998;Henry Kurli;L;18/01/1998;;;;;
162414;24/01/1998;Henry Kurli and Lin Konggui;L;20/01/1998;;;;;
174822;19/01/1998;Henry Leo;L;31/01/1998;;;;;
144176;03/02/1998;Henry Liem;L;25/01/1998;;;;;
230207;07/01/1998;HENRY PASCAL TAMPUBOLON;L;09/01/1998;;;;;
164639;15/01/1998;Henry Pribadi;L;03/02/1998;;;;;
156280;16/01/1998;Henry Rudy Zaini;L;19/01/1998;;;;;
215999;14/01/1998;Hendry Supanini;L;22/01/1998;;;;;
140500;17/01/1998;Henry Susilowidjojo Njoo;L;18/01/1998;;;;;
225546;02/02/1998;Henry Suwignjo;L;31/01/1998;;;;;
163089;13/01/1998;Henry Wargana;L;20/01/1998;;;;;
221163;22/01/1998;HENRY WIDJAYA;L;17/01/1998;;;;;
177752;12/01/1998;Herdin Syafari;L;22/01/1998;;;;;
206837;11/01/1998;Herik Antoni Jie;L;17/01/1998;;;;;
158887;08/01/1998;Herlina;L;13/01/1998;;;;;
157709;30/01/1998;Herlina;L;26/01/1998;;;;;
174747;08/01/1998;Herlinah Soetemo;L;11/01/1998;;;;;
205989;31/01/1998;Herline Goenawan;L;02/02/1998;;;;;
136649;24/01/1998;Herman Afif Kusumo;L;31/01/1998;;;;;
161808;07/01/1998;Herman Gozali;L;16/01/1998;;;;;
155808;14/01/1998;Herman Iskandar;L;25/01/1998;;;;;
184478;19/01/1998;"Herman Iskandar, Khoe Ay Hwa & Seraphine Volkani Iskandar";L;04/02/1998;;;;;
134793;04/02/1998;Herman Karmana;L;18/01/1998;;;;;
227210;26/01/1998;Herman Moeliana;L;25/01/1998;;;;;
174232;03/02/1998;Herman Nagaria;L;17/01/1998;;;;;
167425;01/02/1998;"Herman Wijaya, Yuliana Kusno, Lenny, Rudy and Joni Wijaya";L;10/01/1998;;;;;
204794;19/01/1998;Herman Y.S. Gunawan (Mr. );L;21/01/1998;;;;;
150665;21/01/1998;"HERMAN, ETI, IVAN & ASTRID";L;31/01/1998;;;;;
182435;18/01/1998;Hermani Soeprapto;L;12/01/1998;;;;;
204574;17/01/1998;Hermansjah Tamin;L;16/01/1998;;;;;
176011;14/01/1998;Hermanto Tangkau Adrian;L;04/02/1998;;;;;
214015;21/01/1998;Hermijanto Toto;L;17/01/1998;;;;;
147377;14/01/1998;HERRY KARYANING CIPTO;L;02/02/1998;;;;;
204125;12/01/1998;Herry Mirza Putera;L;10/01/1998;;;;;
125826;07/01/1998;Herry Wibowo;L;29/01/1998;;;;;
134206;16/01/1998;HERTONO RICHARD PRAJITNO;L;09/01/1998;;;;;
165708;16/01/1998;Heru Hidayat;L;22/01/1998;;;;;
158323;26/01/1998;Heru Soesanto Gusti;L;28/01/1998;;;;;
232242;17/01/1998;Heru Sucahyo;L;26/01/1998;;;;;
140230;14/01/1998;Herumanlo Zaini;L;12/01/1998;;;;;
196677;16/01/1998;Hesti Femi Nugraheny;L;15/01/1998;;;;;
198402;14/01/1998;Hesye Silya Mamesah;L;24/01/1998;;;;;
224398;09/01/1998;Hetty Heryati Sumantri;L;14/01/1998;;;;;
199401;09/01/1998;Hetty Indrakasih Soetikno;L;29/01/1998;;;;;
205447;24/01/1998;HIANG.TJE;L;16/01/1998;;;;;
133458;30/01/1998;HIANTO DHARMAPUTRA SUNARDY;L;15/01/1998;;;;;
199546;31/01/1998;Fitri Wiriasari;L;09/01/1998;;;;;
211784;10/01/1998;FLORDEN INVESTMENTS S.A.;L;16/01/1998;;;;;
215942;13/01/1998;Florence & James;L;23/01/1998;;;;;
176399;07/01/1998;Florence Wanamurti;L;07/01/1998;;;;;
197251;22/01/1998;Flores Samudro;L;27/01/1998;;;;;
226955;31/01/1998;Foe Siat Khiun;L;15/01/1998;;;;;
164881;24/01/1998;Fong Felix;L;31/01/1998;;;;;
232534;22/01/1998;Fong / Aiwy;L;15/01/1998;;;;;
207026;01/02/1998;Fonny Tedjajadi;L;03/02/1998;;;;;
152818;04/02/1998;Foronkid Gunawan;L;25/01/1998;;;;;
195222;06/01/1998;Francisca Citrasari;L;06/01/1998;;;;;
161480;27/01/1998;Franciscus Xaverius Hardianto Tjondro;L;21/01/1998;;;;;
159539;24/01/1998;Frank Taira Supit;L;24/01/1998;;;;;
186819;20/01/1998;Franky Widjoyo;L;04/02/1998;;;;;
208896;05/02/1998;Frans Limas;L;13/01/1998;;;;;
146494;25/01/1998;Fransiscus Antonius S.A;L;08/01/1998;;;;;
138968;05/02/1998;Fransiskus Budhinata;L;25/01/1998;;;;;
163252;25/01/1998;Fransisous Iwo;L;30/01/1998;;;;;
150279;08/01/1998;Freddy H. Suryadiharja;L;15/01/1998;;;;;
145156;10/01/1998;Freddy Ignatius Katuari;L;11/01/1998;;;;;
179358;01/02/1998;Freddy Sumartono Santoso;L;06/01/1998;;;;;
170043;31/01/1998;Freddy Sutjipto;L;25/01/1998;;;;;
150416;15/01/1998;Freddyanto Tirtadjaja;L;02/02/1998;;;;;
183911;31/01/1998;FREEPORT Trading Group Limited;L;05/02/1998;;;;;
150767;21/01/1998;Fuad Segayir Alkatiri;L;08/01/1998;;;;;
157803;22/01/1998;G. Lal Agrawala;L;09/01/1998;;;;;
132465;26/01/1998;Gahet Loengara Ascobat;L;06/01/1998;;;;;
186159;31/01/1998;Gahral Sjah;L;18/01/1998;;;;;
156512;14/01/1998;Gaitini Tjokrosaputro;L;18/01/1998;;;;;
158756;16/01/1998;Gan Boot Lian;L;09/01/1998;;;;;
156452;28/01/1998;Gan Chooi Yang;L;17/01/1998;;;;;
211058;10/01/1998;Gandhi Bend;L;11/01/1998;;;;;
217869;18/01/1998;Ganesh Chander Grover;L;16/01/1998;;;;;
149061;27/01/1998;Gareth Joh Lewis;L;07/01/1998;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
